country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",2026-03-03 15:00:00,25.697189,85.2459,so2,6.0,8.0,7.0
India,bihar,Katihar,"Mirchaibari, Katihar - BSPCB",2026-03-03 15:00:00,25.560083,87.553265,no2,9.0,9.0,9.0
India,assam,Silchar,"Tarapur, Silchar - PCBA",2026-03-03 15:00:00,24.82827,92.79525,pm2.5,3.0,70.0,31.0
India,assam,Sivasagar,"Girls College, Sivasagar - PCBA",2026-03-03 15:00:00,26.987634,94.636574,co,22.0,60.0,31.0
India,assam,Sivasagar,"Girls College, Sivasagar - PCBA",2026-03-03 15:00:00,26.987634,94.636574,o3,3.0,91.0,49.0
India,bihar,Arrah,"New DM Office, Arrah - BSPCB",2026-03-03 15:00:00,25.5626095,84.663264,pm2.5,35.0,177.0,92.0
India,andhra pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2026-03-03 15:00:00,16.5150833,80.5181667,nh3,3.0,4.0,4.0
India,bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",2026-03-03 15:00:00,26.11442,85.39813,so2,5.0,41.0,13.0
India,bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",2026-03-03 15:00:00,26.11442,85.39813,o3,12.0,99.0,54.0
India,bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",2026-03-03 15:00:00,26.1403345,85.3650192,nh3,1.0,1.0,1.0
India,bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",2026-03-03 15:00:00,26.1403345,85.3650192,so2,13.0,17.0,14.0
India,bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",2026-03-03 15:00:00,26.1403345,85.3650192,co,36.0,52.0,39.0
India,bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",2026-03-03 15:00:00,26.1403345,85.3650192,o3,10.0,54.0,36.0
India,bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",2026-03-03 15:00:00,26.1209,85.3647,o3,8.0,23.0,14.0
India,bihar,Patna,"DRM Office Danapur, Patna - BSPCB",2026-03-03 15:00:00,25.586562,85.043586,nh3,10.0,12.0,11.0
India,bihar,Patna,"DRM Office Danapur, Patna - BSPCB",2026-03-03 15:00:00,25.586562,85.043586,o3,8.0,38.0,17.0
India,bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",2026-03-03 15:00:00,25.592539,85.227158,pm10,107.0,176.0,143.0
India,bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",2026-03-03 15:00:00,25.592539,85.227158,so2,3.0,7.0,5.0
India,chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",2026-03-03 15:00:00,22.06631475,83.33820077,pm10,37.0,208.0,106.0
India,chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",2026-03-03 15:00:00,22.06631475,83.33820077,co,14.0,94.0,25.0
India,delhi,Delhi,"Alipur, Delhi - DPCC",2026-03-03 15:00:00,28.815329,77.15301,no2,1.0,24.0,14.0
India,delhi,Delhi,"Alipur, Delhi - DPCC",2026-03-03 15:00:00,28.815329,77.15301,nh3,14.0,18.0,16.0
India,delhi,Delhi,"Anand Vihar, Delhi - DPCC",2026-03-03 15:00:00,28.647622,77.315809,co,114.0,130.0,118.0
India,delhi,Delhi,"Anand Vihar, Delhi - DPCC",2026-03-03 15:00:00,28.647622,77.315809,o3,9.0,98.0,17.0
India,delhi,Delhi,"Aya Nagar, Delhi - IMD",2026-03-03 15:00:00,28.4706914,77.1099364,pm2.5,81.0,262.0,149.0
India,delhi,Delhi,"Bawana, Delhi - DPCC",2026-03-03 15:00:00,28.7762,77.051074,nh3,5.0,11.0,7.0
India,bihar,Saharsa,"Police Line, Saharsa - BSPCB",2026-03-03 15:00:00,25.892357,86.590325,nh3,4.0,4.0,4.0
India,bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",2026-03-03 15:00:00,24.952822,84.002396,pm10,54.0,156.0,85.0
India,bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",2026-03-03 15:00:00,24.952822,84.002396,no2,2.0,7.0,3.0
India,bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",2026-03-03 15:00:00,26.2271665,84.3570427,no2,2.0,2.0,2.0
India,bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",2026-03-03 15:00:00,26.2271665,84.3570427,nh3,1.0,1.0,1.0
India,chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",2026-03-03 15:00:00,30.735567,76.775714,pm10,37.0,83.0,56.0
India,chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",2026-03-03 15:00:00,30.735567,76.775714,so2,5.0,23.0,11.0
India,chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",2026-03-03 15:00:00,30.735567,76.775714,co,62.0,100.0,78.0
India,chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",2026-03-03 15:00:00,30.751462,76.762879,pm2.5,61.0,93.0,77.0
India,chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",2026-03-03 15:00:00,22.118125,83.140608,pm10,40.0,87.0,61.0
India,chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",2026-03-03 15:00:00,22.118125,83.140608,co,15.0,48.0,26.0
India,chhattisgarh,Korba,"Rampur, Korba - CECB",2026-03-03 15:00:00,22.368195,82.746431,nh3,1.0,1.0,1.0
